?class	?label	?syn_type
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103180>	"data standard"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_00000025>	"harvest"@en	"exact synonym"
<http://purl.obolibrary.org/obo/AGRO_00000025>	"harvesting"@en	"exact synonym"
<http://purl.obolibrary.org/obo/AGRO_00000025>	"harvesting process"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_00000322>	"treatment"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_00000360>	"experimental site"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_00000363>	"glasshouse"@en	"exact synonym"
<http://purl.obolibrary.org/obo/AGRO_00000363>	"greenhouse"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_00000363>	"hothouse"@en	"broad synonym"
<http://purl.obolibrary.org/obo/AGRO_00000363>	"screenhouse"@en	"broad synonym"
<http://purl.obolibrary.org/obo/AGRO_00002071>	"agricultural process"@en	"label"
<http://purl.obolibrary.org/obo/AGRO_01000020>	"crop cultivation process"@en	"label"
<http://purl.obolibrary.org/obo/APOLLO_SV_00000796>	"dataset creating"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"	"label"
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"	"label"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"	"label"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"	"label"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000006>	"spatial region"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000009>	"two-dimensional spatial region"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000011>	"spatiotemporal region"@en	"label"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"	"label"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"@en	"label"
