"Ontology ID	"	parent	NCBITaxon label	foodon label	definition (if not NCBITaxon)	definition source (if not NCBITaxon)	created	See Also (since term originates from NCBITaxon)	ITIS 	Exact Synonym		GenBank Common Name	term_source	curation status	Comment	"term editor	"	Curation Comment
ID			AL rdfs:label@en	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AT dc11:date^^xsd:dateTime	A rdfs:seeAlso SPLIT=|	A oboInOwl:hasDbXref	AL oboInOwl:hasExactSynonym@en				AI IAO:0000114	AL rdfs:comment@en	"AT IAO:0000117^^rdfs:anyURI SPLIT=|	"	
NCBITaxon:34899		Petaurus breviceps					https://en.wikipedia.org/wiki/Sugar_glider	ITIS.: 609841 	sugar glider 		sugar glider	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:76717		Lontra canadensis					https://en.wikipedia.org/wiki/North_American_river_otter	ITIS.: 180549 	river otter | common otter | northern river otter |Northern American river otter		Northern American river otter	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:34844		Erethizon dorsatum					https://en.wikipedia.org/wiki/North_American_porcupine	ITIS: 180393	canadian porcupine | North American porcupine		North American porcupine	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:75842		Spatula discors					https://en.wikipedia.org/wiki/Blue-winged_teal	ITIS: 175086	anas discors | querquedula discors |bluewinged teal | blue-winged teal		blue-winged teal	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:64278		Quiscalus mexicanus					https://en.wikipedia.org/wiki/Great-tailed_grackle	ITIS:179109	Great-tailed grackle		Great-tailed grackle	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:9627		Vulpes vulpes					https://en.wikipedia.org/wiki/Red_fox	ITIS:180604	red fox		red fox	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:365635		Trachemys scripta scripta					https://en.wikipedia.org/wiki/Yellow-bellied_slider	ITIS:173821				Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:9691		Panthera pardus					https://en.wikipedia.org/wiki/Leopard	ITIS:183804	leopard		leopard	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:9689		Panthera leo					https://en.wikipedia.org/wiki/Lion	ITIS:183803	lion		lion	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:71006		Myrmecophaga tridactyla					https://en.wikipedia.org/wiki/Giant_anteater	ITIS:624911	giant anteater		giant anteater	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:9807		Ceratotherium simum					https://en.wikipedia.org/wiki/White_rhinoceros	ITIS:625001	white rhinoceros		white rhinoceros	Genome Tracker			https://orcid.org/0000-0001-5275-8866	
NCBITaxon:904227		Staurotypus salvinii					https://en.wikipedia.org/wiki/Giant_musk_turtle	ITIS:551863				Genome Tracker			https://orcid.org/0000-0001-5275-8866	
