Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
ID		AL rdfs:label@en	SC %		AL oboInOwl:hasExactSynonym@en	A rdfs:seeAlso SPLIT=|	AL oboInOwl:hasExactSynonym@en	>A IAO_0000412	AL oboInOwl:hasBroadSynonym@en SPLIT=|	>A IAO:0000412		A oboInOwl:hasDbXref							"AT IAO:0000117^^rdfs:anyURI SPLIT=|	"
NCBITaxon:75286	Ariopsis felis					https://en.wikipedia.org/wiki/Hardhead_catfish 	hardhead catfish	FDA SFL Common Name	whiskered fish	FDA SFL Acceptable Market Name	hardheaded sea catfish	ITIS:680665	hardhead catfish	whiskered fish	hardheaded sea catfish	FD&amp;C 403(t)	Sciades felis | Galeichthys felis | Silurus felis | Hexanematichthys felis | Arius felis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:59899	Clarias batrachus					https://en.wikipedia.org/wiki/Walking_catfish 	walking catfish	FDA SFL Common Name	walking clarias fish	FDA SFL Acceptable Market Name		ITIS:164120	walking catfish	walking clarias fish	walking catfish	FD&amp;C 403(t)	Silurus batrachus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:35657	Clarias macrocephalus					https://en.wikipedia.org/wiki/Broadhead_catfish	broadhead catfish	FDA SFL Common Name	broadhead clarias fish	FDA SFL Acceptable Market Name	bighead catfish	ITIS:553391	broadhead catfish	broadhead clarias fish	bighead catfish	FD&amp;C 403(t)		FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:30993	Pangasius gigas					https://en.wikipedia.org/wiki/Mekong_giant_catfish	mekong giant catfish	FDA SFL Common Name	mekong giant pangasius	FDA SFL Acceptable Market Name		ITIS:681698	mekong giant catfish	mekong giant pangasius	mekong giant catfish	FD&amp;C 403(t)	Pangasius gigas	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8001	Pangasius pangasius					https://en.wikipedia.org/wiki/Pangasius_pangasius	yellowtail catfish	FDA SFL Common Name	yellowtail pangasius	FDA SFL Acceptable Market Name		ITIS:681712	yellowtail catfish	yellowtail pangasius	yellowtail catfish	FD&amp;C 403(t)	Pimelodus pangasius	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:365581	Pangasius sanitwongsei					https://en.wikipedia.org/wiki/Giant_pangasius	giant pangasius	FDA SFL Common Name	giant pangasius	FDA SFL Acceptable Market Name		ITIS:201966	giant pangasius	giant pangasius	giant pangasius		Pangasius beani | Pangasius sanitwangsei	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:337629	Pinirampus pirinampu					https://en.wikipedia.org/wiki/Pinirampus 	flatwhiskered catfish	FDA SFL Common Name	flatwhiskered fish	FDA SFL Acceptable Market Name		ITIS:681787	flatwhiskered catfish	flatwhiskered fish		FD&amp;C 403(t)	Pimelodus pirinampu	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1110592	Pseudolais micronemus					https://en.wikipedia.org/wiki/Pseudolais	shortbarbel pangasius	FDA SFL Common Name	shortbarbel pangasius	FDA SFL Acceptable Market Name			shortbarbel pangasius	shortbarbel pangasius	shortbarbel pangasius		Pangasius micronemus | Pangasius micronema	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:419341	Sciades parkeri					https://en.wikipedia.org/wiki/Sciades_parkeri	gillbacker sea catfish	FDA SFL Common Name	gilleybaka | whiskerfish	FDA SFL Acceptable Market Name		ITIS:680783	gillbacker sea catfish	gilleybaka or whiskerfish		FD&amp;C 403(t)	Galeichthys parkeri | Arius parkeri | Silurus parkeri	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
